date,transactions_bitcoin
2017-07-22,223358
2017-07-23,181031
2017-07-24,240072
2017-07-25,244036
2017-07-26,237853
2017-07-27,225369
2017-07-28,247207
2017-07-29,211134
2017-07-30,184145
2017-07-31,231012
2017-08-01,131875
2017-08-02,209321
2017-08-03,213017
2017-08-04,235792
2017-08-05,239771
2017-08-06,199627
2017-08-07,249002
2017-08-08,275574
2017-08-09,260955
2017-08-10,257965
2017-08-11,284001
2017-08-12,260521
2017-08-13,263310
2017-08-14,255362
2017-08-15,311002
2017-08-16,274866
2017-08-17,347319
2017-08-18,312250
2017-08-19,266832
2017-08-20,210852
2017-08-21,236772
2017-08-22,196283
2017-08-23,315734
2017-08-24,203805
2017-08-25,208169
2017-08-26,226485
2017-08-27,261891
2017-08-28,223771
2017-08-29,281116
2017-08-30,271466
2017-08-31,280724
2017-09-01,283670
2017-09-02,236811
2017-09-03,195289
2017-09-04,269280
2017-09-05,277948
2017-09-06,276225
2017-09-07,256374
2017-09-08,279488
2017-09-09,217890
2017-09-10,193240
2017-09-11,253492
2017-09-12,256230
2017-09-13,263320
2017-09-14,268068
2017-09-15,292079
2017-09-16,228257
2017-09-17,197683
2017-09-18,218204
2017-09-19,282917
2017-09-20,235723
2017-09-21,255257
2017-09-22,227615
2017-09-23,203861
2017-09-24,185277
2017-09-25,226603
2017-09-26,263648
2017-09-27,257961
2017-09-28,275976
2017-09-29,254438
2017-09-30,212678
2017-10-01,203653
2017-10-02,295002
2017-10-03,282132
2017-10-04,232826
2017-10-05,273243
2017-10-06,283699
2017-10-07,231226
2017-10-08,238385
2017-10-09,296946
2017-10-10,303101
2017-10-11,292459
2017-10-12,293164
2017-10-13,309819
2017-10-14,293140
2017-10-15,283473
2017-10-16,314725
2017-10-17,334438
2017-10-18,329579
2017-10-19,356985
2017-10-20,312409
2017-10-21,312257
2017-10-22,289131
2017-10-23,316096
2017-10-24,347220
2017-10-25,315415
2017-10-26,265827
2017-10-27,246692
2017-10-28,207066
2017-10-29,334025
2017-10-30,316077
2017-10-31,277535
2017-11-01,351529
2017-11-02,341474
2017-11-03,277598
2017-11-04,294121
2017-11-05,251728
2017-11-06,271029
2017-11-07,335636
2017-11-08,301346
2017-11-09,341281
2017-11-10,271745
2017-11-11,194634
2017-11-12,185966
2017-11-13,309299
2017-11-14,271995
2017-11-15,321788
2017-11-16,310396
2017-11-17,306617
2017-11-18,270874
2017-11-19,264855
2017-11-20,336204
2017-11-21,371091
2017-11-22,312033
2017-11-23,352207
2017-11-24,305735
2017-11-25,336689
2017-11-26,329677
2017-11-27,379256
2017-11-28,365977
2017-11-29,398090
2017-11-30,384386
2017-12-01,412908
2017-12-02,326354
2017-12-03,353044
2017-12-04,400686
2017-12-05,405709
2017-12-06,443587
2017-12-07,374917
2017-12-08,385092
2017-12-09,403399
2017-12-10,341420
2017-12-11,368598
2017-12-12,372977
2017-12-13,424579
2017-12-14,490644
2017-12-15,405676
2017-12-16,364222
2017-12-17,391910
2017-12-18,394239
2017-12-19,378622
2017-12-20,370277
2017-12-21,335482
2017-12-22,380648
2017-12-23,308211
2017-12-24,279523
2017-12-25,228926
2017-12-26,247440
2017-12-27,307642
2017-12-28,305053
2017-12-29,353824
2017-12-30,344407
2017-12-31,290422
2018-01-01,241757
2018-01-02,340980
2018-01-03,395963
2018-01-04,425008
2018-01-05,342707
2018-01-06,358847
2018-01-07,368187
2018-01-08,345672
2018-01-09,360265
2018-01-10,347393
2018-01-11,337959
2018-01-12,300091
2018-01-13,265735
2018-01-14,235045
2018-01-15,273623
2018-01-16,303725
2018-01-17,315771
2018-01-18,309495
2018-01-19,243619
2018-01-20,240611
2018-01-21,215622
2018-01-22,245562
2018-01-23,271936
2018-01-24,250423
2018-01-25,236580
2018-01-26,220459
2018-01-27,193578
2018-01-28,213446
2018-01-29,232176
2018-01-30,236609
2018-01-31,204276
2018-02-01,257664
2018-02-02,235918
2018-02-03,194891
2018-02-04,173687
2018-02-05,216363
2018-02-06,244120
2018-02-07,213719
2018-02-08,173289
2018-02-09,177860
2018-02-10,181783
2018-02-11,147208
2018-02-12,186918
2018-02-13,182984
2018-02-14,196417
2018-02-15,198183
2018-02-16,187738
2018-02-17,173789
2018-02-18,159495
2018-02-19,187367
2018-02-20,198455
2018-02-21,205201
2018-02-22,183235
2018-02-23,185193
2018-02-24,154534
2018-02-25,144869
2018-02-26,186474
2018-02-27,219624
2018-02-28,189223
2018-03-01,233744
2018-03-02,195073
2018-03-03,177024
2018-03-04,160231
2018-03-05,201438
2018-03-06,206016
2018-03-07,213978
2018-03-08,196422
2018-03-09,198180
2018-03-10,156228
2018-03-11,150884
2018-03-12,188394
2018-03-13,196140
2018-03-14,191042
2018-03-15,206186
2018-03-16,186979
2018-03-17,154496
2018-03-18,164401
2018-03-19,191528
2018-03-20,195168
2018-03-21,194846
2018-03-22,185187
2018-03-23,179818
2018-03-24,157087
2018-03-25,135274
2018-03-26,187850
2018-03-27,187065
2018-03-28,177521
2018-03-29,192411
2018-03-30,185940
2018-03-31,148617
2018-04-01,135129
2018-04-02,168178
2018-04-03,198919
2018-04-04,185710
2018-04-05,181832
2018-04-06,172889
2018-04-07,154639
2018-04-08,138535
2018-04-09,176563
2018-04-10,186415
2018-04-11,183248
2018-04-12,210879
2018-04-13,217282
2018-04-14,161843
2018-04-15,174031
2018-04-16,196106
2018-04-17,201820
2018-04-18,200740
2018-04-19,213523
2018-04-20,207777
2018-04-21,193975
2018-04-22,171870
2018-04-23,226353
2018-04-24,254493
2018-04-25,213155
2018-04-26,216732
2018-04-27,211119
2018-04-28,203681
2018-04-29,180798
2018-04-30,215107
2018-05-01,199959
2018-05-02,212296
2018-05-03,228521
2018-05-04,219069
2018-05-05,202703
2018-05-06,171761
2018-05-07,205063
2018-05-08,217810
2018-05-09,206579
2018-05-10,208961
2018-05-11,213624
2018-05-12,182054
2018-05-13,158794
2018-05-14,209697
2018-05-15,214779
2018-05-16,208463
2018-05-17,192683
2018-05-18,211496
2018-05-19,173274
2018-05-20,158663
2018-05-21,202647
2018-05-22,203337
2018-05-23,223196
2018-05-24,206825
2018-05-25,196181
2018-05-26,158783
2018-05-27,144304
2018-05-28,189063
2018-05-29,204769
2018-05-30,204077
2018-05-31,209526
2018-06-01,205481
2018-06-02,174497
2018-06-03,163443
2018-06-04,209916
2018-06-05,212901
2018-06-06,206417
2018-06-07,207627
2018-06-08,200379
2018-06-09,171306
2018-06-10,179809
2018-06-11,213196
2018-06-12,214595
2018-06-13,211829
2018-06-14,210029
2018-06-15,205861
2018-06-16,159090
2018-06-17,144908
2018-06-18,196305
2018-06-19,191805
2018-06-20,198889
2018-06-21,198113
2018-06-22,204144
2018-06-23,163295
2018-06-24,158022
2018-06-25,200173
2018-06-26,195404
2018-06-27,188510
2018-06-28,187624
2018-06-29,197881
2018-06-30,181065
2018-07-01,156247
2018-07-02,199294
2018-07-03,216747
2018-07-04,206788
2018-07-05,199600
2018-07-06,200993
2018-07-07,170160
2018-07-08,155685
2018-07-09,206546
2018-07-10,216063
2018-07-11,202603
2018-07-12,203535
2018-07-13,207904
2018-07-14,176475
2018-07-15,161151
2018-07-16,207842
2018-07-17,233966
2018-07-18,238769
2018-07-19,225039
2018-07-20,225529
2018-07-21,184803
2018-07-22,167129
2018-07-23,229480
2018-07-24,259358
2018-07-25,250208
2018-07-26,231679
2018-07-27,229397
2018-07-28,188238
2018-07-29,168407
2018-07-30,230924
2018-07-31,242977
2018-08-01,241044
2018-08-02,224873
2018-08-03,229859
2018-08-04,191657
2018-08-05,172181
2018-08-06,218607
2018-08-07,233045
2018-08-08,235311
2018-08-09,222326
2018-08-10,226148
2018-08-11,192438
2018-08-12,165044
2018-08-13,222229
2018-08-14,247622
2018-08-15,246066
2018-08-16,232335
2018-08-17,233794
2018-08-18,190935
2018-08-19,167400
2018-08-20,214983
2018-08-21,217777
2018-08-22,230333
2018-08-23,217352
2018-08-24,219848
2018-08-25,196420
2018-08-26,172747
2018-08-27,223656
2018-08-28,238039
2018-08-29,237508
2018-08-30,231391
2018-08-31,237076
2018-09-01,213331
2018-09-02,187145
2018-09-03,222897
2018-09-04,232265
2018-09-05,246477
2018-09-06,252261
2018-09-07,230790
2018-09-08,204428
2018-09-09,188912
2018-09-10,222866
2018-09-11,237571
2018-09-12,233275
2018-09-13,234209
2018-09-14,223250
2018-09-15,211071
2018-09-16,179483
2018-09-17,240152
2018-09-18,244259
2018-09-19,251037
2018-09-20,253674
2018-09-21,273051
2018-09-22,225537
2018-09-23,200319
2018-09-24,237670
2018-09-25,252113
2018-09-26,243927
2018-09-27,248686
2018-09-28,254239
2018-09-29,218339
2018-09-30,208210
2018-10-01,242820
2018-10-02,244772
2018-10-03,242303
2018-10-04,243157
2018-10-05,244719
2018-10-06,214843
2018-10-07,219731
2018-10-08,248041
2018-10-09,235862
2018-10-10,244945
2018-10-11,262467
2018-10-12,243174
2018-10-13,205097
2018-10-14,191259
2018-10-15,266945
2018-10-16,257967
2018-10-17,260362
2018-10-18,253450
2018-10-19,253826
2018-10-20,227821
2018-10-21,211505
2018-10-22,255324
2018-10-23,253463
2018-10-24,254091
2018-10-25,254599
2018-10-26,253002
2018-10-27,233749
2018-10-28,219860
2018-10-29,269754
2018-10-30,283327
2018-10-31,288283
2018-11-01,281941
2018-11-02,292704
2018-11-03,249564
2018-11-04,226247
2018-11-05,296283
2018-11-06,285451
2018-11-07,293734
2018-11-08,277597
2018-11-09,283896
2018-11-10,252499
2018-11-11,246991
2018-11-12,300006
2018-11-13,279160
2018-11-14,292755
2018-11-15,291525
2018-11-16,283124
2018-11-17,262649
2018-11-18,239803
2018-11-19,267971
2018-11-20,288450
2018-11-21,254942
2018-11-22,266116
2018-11-23,275261
2018-11-24,250017
2018-11-25,239256
2018-11-26,257062
2018-11-27,268533
2018-11-28,254456
2018-11-29,246226
2018-11-30,250157
2018-12-01,241847
2018-12-02,222673
2018-12-03,240652
2018-12-04,270189
2018-12-05,256501
2018-12-06,279654
2018-12-07,253890
2018-12-08,231104
2018-12-09,238569
2018-12-10,258353
2018-12-11,251487
2018-12-12,261423
2018-12-13,268422
2018-12-14,275801
2018-12-15,262879
2018-12-16,226453
2018-12-17,298823
2018-12-18,266245
2018-12-19,302392
2018-12-20,287273
2018-12-21,280588
2018-12-22,251216
2018-12-23,250739
2018-12-24,272297
2018-12-25,265052
2018-12-26,281305
2018-12-27,300020
2018-12-28,308267
2018-12-29,264980
2018-12-30,267639
2018-12-31,259684
2019-01-01,234725
2019-01-02,271696
2019-01-03,291016
2019-01-04,281772
2019-01-05,265192
2019-01-06,258522
2019-01-07,284782
2019-01-08,318524
2019-01-09,319056
2019-01-10,327338
2019-01-11,308372
2019-01-12,281502
2019-01-13,276997
2019-01-14,326685
2019-01-15,302279
2019-01-16,305702
2019-01-17,296695
2019-01-18,305965
2019-01-19,282188
2019-01-20,294118
2019-01-21,315202
2019-01-22,296040
2019-01-23,293494
2019-01-24,308146
2019-01-25,301085
2019-01-26,288285
2019-01-27,276651
2019-01-28,308062
2019-01-29,326162
2019-01-30,321980
2019-01-31,353945
2019-02-01,339341
2019-02-02,322032
2019-02-03,300171
2019-02-04,335288
2019-02-05,354069
2019-02-06,349596
2019-02-07,353046
2019-02-08,335280
2019-02-09,310892
2019-02-10,299609
2019-02-11,315725
2019-02-12,271573
2019-02-13,352651
2019-02-14,354483
2019-02-15,296729
2019-02-16,332137
2019-02-17,327463
2019-02-18,344274
2019-02-19,348242
2019-02-20,314320
2019-02-21,297595
2019-02-22,350306
2019-02-23,328239
2019-02-24,320446
2019-02-25,336634
2019-02-26,366568
2019-02-27,344560
2019-02-28,367827
2019-03-01,354422
2019-03-02,335864
2019-03-03,353683
2019-03-04,304188
2019-03-05,285716
2019-03-06,277863
2019-03-07,282523
2019-03-08,285264
2019-03-09,239492
2019-03-10,212877
2019-03-11,294741
2019-03-12,285653
2019-03-13,285957
2019-03-14,299929
2019-03-15,296970
2019-03-16,262267
2019-03-17,227290
2019-03-18,291505
2019-03-19,304744
2019-03-20,304960
2019-03-21,300712
2019-03-22,298524
2019-03-23,251573
2019-03-24,226166
2019-03-25,322191
2019-03-26,366415
2019-03-27,383186
2019-03-28,393698
2019-03-29,369817
2019-03-30,377783
2019-03-31,381652
2019-04-01,368904
2019-04-02,401507
2019-04-03,360250
2019-04-04,354660
2019-04-05,387090
2019-04-06,359569
2019-04-07,350631
2019-04-08,372417
2019-04-09,346071
2019-04-10,396501
2019-04-11,402802
2019-04-12,376767
2019-04-13,367076
2019-04-14,337030
2019-04-15,381473
2019-04-16,358517
2019-04-17,350737
2019-04-18,382981
2019-04-19,362128
2019-04-20,319840
2019-04-21,390735
2019-04-22,342014
2019-04-23,311753
2019-04-24,404279
2019-04-25,384089
2019-04-26,381209
2019-04-27,359008
2019-04-28,383291
2019-04-29,363207
2019-04-30,346486
2019-05-01,439549
2019-05-02,452646
2019-05-03,383032
2019-05-04,355910
2019-05-05,330732
2019-05-06,378476
2019-05-07,329943
2019-05-08,393081
2019-05-09,361569
2019-05-10,322963
2019-05-11,344957
2019-05-12,338571
2019-05-13,390428
2019-05-14,367370
2019-05-15,368901
2019-05-16,375062
2019-05-17,361654
2019-05-18,359704
2019-05-19,346859
2019-05-20,381582
2019-05-21,380889
2019-05-22,394887
2019-05-23,389343
2019-05-24,373882
2019-05-25,338398
2019-05-26,374072
2019-05-27,399584
2019-05-28,390427
2019-05-29,405155
2019-05-30,376874
2019-05-31,298997
2019-06-01,332092
2019-06-02,301003
2019-06-03,294009
